EID;Ename;Title;Mgr_ID;DOJ;Sal;Comm;Dept
7369;MITH;CLERK;7902;17-12-1980;800;100;20
7499;ALLEN;SALESMAN;7698;20-02-1981;1600;300;30
7521;WARD;SALESMAN;7698;22-02-1981;1250;500;30
7566;JONES;MANAGER;7839;2-04-1981;2975;297;20
7654;MARTIN;SALESMAN;7698;28-09-1981;1250;1400;30
7698;BLAKE;MANAGER;7839;1-05-1981;2850;285;30
7782;CLARK;MANAGER;7839;9-06-1981;2450;245;10
7788;SCOTT;ANALYST;7566;19-04-1987;3000;300;20
7839;KING;PRESIDENT;17-09-1981;5000;600;10
7844;TURNER;SALESMAN;7698;8-09-1981;1500;0;30
7876;ADAMS;CLERK;7788;23-05-1987;1100;500;20
7900;JAMES;CLERK;7698;3-12-1981;950;200;30
7902;FORD;ANALYST;7566;3-12-1981;3000;100;20
7934;MILLER;CLERK;7782;23-01-1982;1300;500;10
7802;Rocky;ANALYST;7902;24-02-1989;2300;200;30
7903;James;MANAGER;7839;21-02-1990;3200;700;10
